,12
RoundNumber,12
Country,Belgium
Location,Spa-Francorchamps
OfficialEventName,FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023
EventDate,2023-07-30 00:00:00
EventName,Belgian Grand Prix
EventFormat,sprint_shootout
Session1,Practice 1
Session1Date,2023-07-28 13:30:00+02:00
Session1DateUtc,2023-07-28 11:30:00
Session2,Qualifying
Session2Date,2023-07-28 17:00:00+02:00
Session2DateUtc,2023-07-28 15:00:00
Session3,Sprint Shootout
Session3Date,2023-07-29 12:00:00+02:00
Session3DateUtc,2023-07-29 10:00:00
Session4,Sprint
Session4Date,2023-07-29 17:05:00+02:00
Session4DateUtc,2023-07-29 15:05:00
Session5,Race
Session5Date,2023-07-30 15:00:00+02:00
Session5DateUtc,2023-07-30 13:00:00
F1ApiSupport,True
